,name,uri,address,description,rating,latitude,longitude,restaurant_type,work_time,average_bill,cuisine
1811,Kuzina,https://www.afisha.ru/novosibirsk/restaurant/kuzina-457991/,"Троллейная, 130в",,0.0,54.9639289,82.851264,Кондитерская,пн-вс 8.00–21.00,,Торты на заказ
1812,Kuzina,https://www.afisha.ru/novosibirsk/restaurant/kuzina-457992/,"Русская, 1, ТЦ «Маяк»",,0.0,54.8492462,83.0416309,Кондитерская,пн-вс 8.00–21.00,,Торты на заказ
1813,Kuzina,https://www.afisha.ru/novosibirsk/restaurant/kuzina-485601/,"Терешковой, 12",,0.0,54.8409654,83.1020186,Кондитерская,пн-вс 8.00–21.00,,Неизвестно
1814,Kuzina,https://www.afisha.ru/novosibirsk/restaurant/kuzina-489432/,"Немировича-Данченко, 156",,0.0,54.9912276,82.9143847,Кондитерская,пн-вс 8.00–21.00,,Торты на заказ
1815,Kuzina,https://www.afisha.ru/novosibirsk/restaurant/kuzina-489435/,"Красный просп., 49",,0.0,55.0368794,82.9181069,Кондитерская,пн-вс 8.00–21.00,,Торты на заказ
1816,Kuzina,https://www.afisha.ru/novosibirsk/restaurant/kuzina-489438/,"Бориса Богаткова, 221",,0.0,55.037454,82.9765972,Кондитерская,пн-вс 8.00–22.00,,Торты на заказ
1817,Kuzina,https://www.afisha.ru/novosibirsk/restaurant/kuzina-489443/,"​Большевистская, 128",,0.0,54.9897559,82.9760853,Кондитерская,пн-вс 7.30–21.00,,Торты на заказ
1818,Kuzina,https://www.afisha.ru/novosibirsk/restaurant/kuzina-489444/,"Учительская, 33",,0.0,55.080586,82.9657072,Кондитерская,пн-вс 8.00–21.00,,Торты на заказ
1819,Kuzina,https://www.afisha.ru/novosibirsk/restaurant/kuzina-489446/,"​Ипподромская, 42",,0.0,55.0440449,82.9427857,Кондитерская,пн-вс 8.00–21.00,,Торты на заказ
1820,Kuzina,https://www.afisha.ru/novosibirsk/restaurant/kuzina-489447/,"​Красноярская, 36",,0.0,55.0402487,82.9015127,Кондитерская,пн-вс 8.00–21.00,,Торты на заказ
1821,Kventin,https://www.afisha.ru/novosibirsk/restaurant/kventin-495176/,"Ядринцевская, 21",,0.0,55.0332028,82.9208665,Ресторан,"пн-чт 10.00–0.00, пт 10.00–6.00, сб 12.00–6.00, вс 12.00–0.00",700–1700 рублей,"Бургеры, Европейская кухня, Пицца"
1822,La bulka,https://www.afisha.ru/novosibirsk/restaurant/la-bulka-490326/,"​Петухова, 14б",,0.0,54.9393801,82.8889155,Ресторан,"пн-пт 7.30–21.30, сб-вс 8.30–21.30",,Неизвестно
1823,La crème,https://www.afisha.ru/novosibirsk/restaurant/la-creme-313058/,"Пермитина, 24",,0.0,54.991859,82.8944206,Ресторан,по предварительной договоренности,,Неизвестно
1824,Lambic,https://www.afisha.ru/novosibirsk/restaurant/lambic-507440/,"Тимирязева, 97/1",,0.0,55.0587405,82.9042835,Ресторан,"пн-чт, вс 12.00–0.00, пт-сб 12.00–2.00",1700–3000 рублей,"Бельгийская кухня, Европейская кухня"
1825,La Trenta,https://www.afisha.ru/novosibirsk/restaurant/la-trenta-151960/,"Ленина, 9","Семейный ресторанчик на тридцать мест оформлен в стиле декоративной траттории, что вполне соответствует итальянскому духу по-сибирски. Деревянный пол, клетчатые скатерти, зелень в горшочках, множество симпатичных мелочей на полочках, фрагмент небеленой кирпичной кладки, открытая кухня. В меню — три десятка итальянских блюд, не считая ежедневно меняющегося блюда дня. Пицца есть как классическая (микс сыров или пармская ветчина с шампиньонами), так и с вариациями: например, Mamma di Mishka с курицей и белыми грибами. Найдется и домашняя паста, и рыбный суп-крем Zuppa di Niccolo, миланская котлета и несколько видов закусок. В барной карте — не только итальянские домашние вина, но и продукция других стран Старого и Нового Света; крепкий алкоголь тоже имеется.",0.0,55.029024,82.91324,Ресторан,"пн-чт, вс 12.00–23.00, пт-сб 12.00–0.00",700–1700 рублей,"Итальянская кухня, Паста, Пицца"
1826,Lazio pizza,https://www.afisha.ru/novosibirsk/restaurant/lazio-pizza-489096/,"​Кочубея, 7/1",,0.0,55.1079033,82.9567581,Ресторан,пн-вс 11.00–22.00,До 700 рублей,"Итальянская кухня, Пицца"
