,Unnamed: 0.1,name,address,description
10,10,Апарт-Отель OAZIS APART,"улица Лескова, д.25, Новосибирск","Апарт-Отель OAZIS APART по адресу улица Лескова, д.25, Октябрьский район, Новосибирск. Минимальная стоимость в отеле 'Апарт-Отель OAZIS APART' за ночь: от 2950₽"
11,11,Отель Метелица,"улица Добролюбова, д.195, Новосибирск","Отель Метелица по адресу улица Добролюбова, д.195, Октябрьский район, Новосибирск. Минимальная стоимость в отеле 'Отель Метелица' за ночь: от 5750₽"
12,12,Отель Перекресток,"Фабричная улица, 4/1, Новосибирск","Отель Перекресток по адресу Фабричная улица, 4/1, Железнодорожный район, Новосибирск. Минимальная стоимость в отеле 'Отель Перекресток' за ночь: от 3322₽"
13,13,Апарт-Отель Ramada hotel&suites by Wyndham Novosibirsk Zhukovka,"улица Победы, д.55, Новосибирск","Апарт-Отель Ramada hotel&suites by Wyndham Novosibirsk Zhukovka по адресу улица Победы, д.55, Заельцовский район, Новосибирск. Минимальная стоимость в отеле 'Апарт-Отель Ramada hotel&suites by Wyndham Novosibirsk Zhukovka' за ночь: от 5351₽"
14,14,Отель Tolstogo City,"улица Толстого, д.77, Новосибирск","Отель Tolstogo City по адресу улица Толстого, д.77, Октябрьский район, Новосибирск. Минимальная стоимость в отеле 'Отель Tolstogo City' за ночь: от 3400₽"
15,15,Аврора,"ул. Панфиловцев, д. 53, Новосибирск","Аврора по адресу ул. Панфиловцев, д. 53, Октябрьский район, Новосибирск. Минимальная стоимость в отеле 'Аврора' за ночь: от 2396₽"
16,16,Мини-отель ЕВРОСАУНА,"улица Мира, д.63А, корп.4, Новосибирск","Мини-отель ЕВРОСАУНА по адресу улица Мира, д.63А, корп.4, Заельцовский район, Новосибирск. Минимальная стоимость в отеле 'Мини-отель ЕВРОСАУНА' за ночь: от 2476₽"
17,17,Лель,"ул. Кутузова, д.69, Карасук","Лель по адресу ул. Кутузова, д.69, Карасук. Минимальная стоимость в отеле 'Лель' за ночь: от 1600₽"
18,18,Мини-отель Мадо,"улица Светлановская, д. 8, Новосибирск","Мини-отель Мадо по адресу улица Светлановская, д. 8, Заельцовский район, Новосибирск. Минимальная стоимость в отеле 'Мини-отель Мадо' за ночь: от 2627₽"
19,19,Диван и чемодан на Ленина,"ул. Ленина, 79, Новосибирск","Диван и чемодан на Ленина по адресу ул. Ленина, 79, Железнодорожный район, Новосибирск. Минимальная стоимость в отеле 'Диван и чемодан на Ленина' за ночь: от 2051₽"
20,20,Отель Хлебный год,"Советское шоссе, д.7, Новосибирск","Отель Хлебный год по адресу Советское шоссе, д.7, Новосибирск. Минимальная стоимость в отеле 'Отель Хлебный год' за ночь: от 4282₽"
21,21,Гостевой Дом Маяк,"улица Плотинная, д.1/1, Новосибирск","Гостевой Дом Маяк по адресу улица Плотинная, д.1/1, Советский район, Новосибирск. Минимальная стоимость в отеле 'Гостевой Дом Маяк' за ночь: от 4145₽"
22,22,Гостиница Золотое Руно,"улица Зыряновская, д.55, Новосибирск","Гостиница Золотое Руно по адресу улица Зыряновская, д.55, Октябрьский район, Новосибирск. Минимальная стоимость в отеле 'Гостиница Золотое Руно' за ночь: от 4510₽"
23,23,Мини-отель Роял Марин,"микрорайон Северный, д.1/1, Бердск","Мини-отель Роял Марин по адресу микрорайон Северный, д.1/1, Бердск. Минимальная стоимость в отеле 'Мини-отель Роял Марин' за ночь: от 3466₽"
24,24,Квартиры Sibkvart Добролюбова 18/1,"улица Добролюбова, д.18/1, Новосибирск","Квартиры Sibkvart Добролюбова 18/1 по адресу улица Добролюбова, д.18/1, Октябрьский район, Новосибирск. Минимальная стоимость в отеле 'Квартиры Sibkvart Добролюбова 18/1' за ночь: от 3341₽"
25,25,Хостел Why not Hostel Novosibirsk,"Вокзальная магистраль, д. 6, Новосибирск","Хостел Why not Hostel Novosibirsk по адресу Вокзальная магистраль, д. 6, Железнодорожный район, Новосибирск. Минимальная стоимость в отеле 'Хостел Why not Hostel Novosibirsk' за ночь: от 1961₽"
26,26,Отель Акватория,"Улица Ватутина, д. 16/1, Новосибирск","Отель Акватория по адресу Улица Ватутина, д. 16/1, Кировский, Ленинский район, Новосибирск. Минимальная стоимость в отеле 'Отель Акватория' за ночь: от 2192₽"
27,27,Отель Авеню,"улица Советская, д.57, Новосибирск","Отель Авеню по адресу улица Советская, д.57, Железнодорожный район, Новосибирск. Минимальная стоимость в отеле 'Отель Авеню' за ночь: от 2327₽"
28,28,Хостел City,"улица Блюхера, д.24, Новосибирск","Хостел City по адресу улица Блюхера, д.24, Ленинский район, Новосибирск. Минимальная стоимость в отеле 'Хостел City' за ночь: от 1300₽"
29,29,Отель Домина Новосибирск,"улица Ленина, д.26, Новосибирск","Отель Домина Железнодорожный район, Новосибирск по адресу улица Ленина, д.26, Железнодорожный район, Новосибирск. Минимальная стоимость в отеле 'Отель Домина Железнодорожный район, Новосибирск' за ночь: от 7100₽"
30,30,Апарт-отель Гостиниц net (Ядринцевская),"ул. Ядринцевская 71, Новосибирск, Новосибирск","Апарт-отель Гостиниц net (Ядринцевская) по адресу ул. Ядринцевская 71, Новосибирск, Новосибирск. Минимальная стоимость в отеле 'Апарт-отель Гостиниц net (Ядринцевская)' за ночь: от 3010₽"
31,31,Отель Колибри,"Улица Чаплыгина, д.111, Новосибирск","Отель Колибри по адресу Улица Чаплыгина, д.111, Центральный район, Новосибирск. Минимальная стоимость в отеле 'Отель Колибри' за ночь: от 4330₽"
32,32,Мини-Отель на Артиллерийской,"улица Артиллерийская, д.97, Новосибирск","Мини-Отель на Артиллерийской по адресу улица Артиллерийская, д.97, Октябрьский район, Новосибирск. Минимальная стоимость в отеле 'Мини-Отель на Артиллерийской' за ночь: от 2600₽"
