,Unnamed: 0,name,address,description,longitude,latitude
225,225,Отель AHOTELS design style на Советской,"ул. Советская, 8, Новосибирск","Отель AHOTELS design style на Советской по адресу ул. Советская, 8, Новосибирск. Минимальная стоимость в отеле 'Отель AHOTELS design style на Советской' за ночь: от 3118₽",82.918426,55.023831
226,226,Apartment Na Vokzalnoy Magistrali,"Ulitsa Vokzalnaya Magistral, 5, Ap.47, 630004 Novosibirsk, Russia, Новосибирск","Apartment Na Vokzalnoy Magistrali по адресу Ulitsa Vokzalnaya Magistral, 5, Ap.47, 630004 Novosibirsk, Russia, Новосибирск. Минимальная стоимость в отеле 'Apartment Na Vokzalnoy Magistrali' за ночь: от 3090₽",82.907718,55.033718
227,227,4 Rooms,"ul. Gogolya, 8, Novosibirsk, Novosibirskaya oblast', Russia, 630091, Новосибирск","4 Rooms по адресу ul. Gogolya, 8, Novosibirsk, Novosibirskaya oblast', Russia, 630091, Новосибирск. Минимальная стоимость в отеле '4 Rooms' за ночь: от 3202₽",82.92043,55.030204
228,228,Yousinn (Юсинн) на улице Героев Революции,"ул. Героев Революции, 31, Новосибирск","Yousinn (Юсинн) на улице Героев Революции по адресу ул. Героев Революции, 31, Новосибирск. Минимальная стоимость в отеле 'Yousinn (Юсинн) на улице Героев Революции' за ночь: от 2969₽",83.083761,54.975672
229,229,Колибри,"ул. Партизанская, д.9, Маслянино","Колибри по адресу ул. Партизанская, д.9, Маслянино. Минимальная стоимость в отеле 'Колибри' за ночь: от 3582₽",84.217031,54.347105
230,230,Хостел Fine O Clock,"Oktyabrskaya Street 40, Novosibirsk, Russia, Новосибирск","Хостел Fine O Clock по адресу Oktyabrskaya Street 40, Novosibirsk, Russia, Новосибирск. Минимальная стоимость в отеле 'Хостел Fine O Clock' за ночь: от 2260₽",82.92043,55.030204
231,231,PARUS Medical Resort&Spa,"630510, Новосибирская область, п. Кудряшовский, Береговая, 56, Кудряшовский","PARUS Medical Resort&Spa по адресу 630510, Новосибирская область, п. Кудряшовский, Береговая, 56, Кудряшовский. Минимальная стоимость в отеле 'PARUS Medical Resort&Spa' за ночь: от 12875₽",82.77766,55.085904
232,232,"Алатырь Новосибирск, ул. Блюхера, д. 13","Россия, 630078, Новосибирская область, Новосибирск, ул. Блюхера, д. 13, Новосибирск","Алатырь Новосибирск, ул. Блюхера, д. 13 по адресу Россия, 630078, Новосибирская область, Новосибирск, ул. Блюхера, д. 13, Новосибирск. Минимальная стоимость в отеле 'Алатырь Новосибирск, ул. Блюхера, д. 13' за ночь: от 3202₽",82.890318,54.984465
233,233,STOP-HOUSE,"ул. Зыряновская, дом 57/3, Новосибирск","STOP-HOUSE по адресу ул. Зыряновская, дом 57/3, Новосибирск. Минимальная стоимость в отеле 'STOP-HOUSE' за ночь: от 2260₽",82.940237,55.010808
234,234,Apartment Krasnye,"Красный проспект 66, Новосибирск","Apartment Krasnye по адресу Красный проспект 66, Новосибирск. Минимальная стоимость в отеле 'Apartment Krasnye' за ночь: от 3090₽",82.918049,55.040869
235,235,Apartment na Khmelnitskogo,"Street Bogdana Kmelnitskogo 33/1, Новосибирск","Apartment na Khmelnitskogo по адресу Street Bogdana Kmelnitskogo 33/1, Новосибирск. Минимальная стоимость в отеле 'Apartment na Khmelnitskogo' за ночь: от 3090₽",82.948241,55.073937
236,236,Apartment Novosibirsk,"Silver Springs 6, Новосибирск","Apartment Novosibirsk по адресу Silver Springs 6, Новосибирск. Минимальная стоимость в отеле 'Apartment Novosibirsk' за ночь: от 3090₽",55.255948,25.031141
237,237,U Vokzala,"Ul. Chelyuskintsev, 22 Stantsiya Metro Ploshtady Garina-Mihaylovskogo, Новосибирск","U Vokzala по адресу Ul. Chelyuskintsev, 22 Stantsiya Metro Ploshtady Garina-Mihaylovskogo, Новосибирск. Минимальная стоимость в отеле 'U Vokzala' за ночь: от 2260₽",82.904997,55.037608
238,238,Отель Пятница,"Улица Кирова 299, Новосибирск","Отель Пятница по адресу Улица Кирова 299, Новосибирск. Минимальная стоимость в отеле 'Отель Пятница' за ночь: от 3202₽",82.972819,55.005372
239,239,Ирис Апарт-Отель,"Ядринцевская ул., д.48, Новосибирск","Ирис Апарт-Отель по адресу Ядринцевская ул., д.48, Новосибирск. Минимальная стоимость в отеле 'Ирис Апарт-Отель' за ночь: от 2732₽",82.928937,55.033403
240,240,Yousinn (Юсинн) на улице Крылова,"ул. Крылова, 67А, Новосибирск","Yousinn (Юсинн) на улице Крылова по адресу ул. Крылова, 67А, Новосибирск. Минимальная стоимость в отеле 'Yousinn (Юсинн) на улице Крылова' за ночь: от 2748₽",82.938459,55.042932
241,241,Метелица,"Ленина 2Г, Бердск","Метелица по адресу Ленина 2Г, Бердск. Минимальная стоимость в отеле 'Метелица' за ночь: от 4440₽",83.070125,54.770604
242,242,Мираж,"1442 km of the Baykal State highway, Novosibirskaya region, Kochenevsky district, Прокудское","Мираж по адресу 1442 km of the Baykal State highway, Novosibirskaya region, Kochenevsky district, Прокудское. Минимальная стоимость в отеле 'Мираж' за ночь: от 4507₽",82.326985,54.964153
243,243,Motel Rubin,"Kirpichnaya Ulitsa 1/1, Новомошковское","Motel Rubin по адресу Kirpichnaya Ulitsa 1/1, Новомошковское. Минимальная стоимость в отеле 'Motel Rubin' за ночь: от 3122₽",24.717666,59.433883
244,244,Red avenue,"Krasny prospekt 179/1, 630123 Novosibirsk, Russia, Новосибирск","Red avenue по адресу Krasny prospekt 179/1, 630123 Novosibirsk, Russia, Новосибирск. Минимальная стоимость в отеле 'Red avenue' за ночь: от 3090₽",82.908787,55.070762
245,245,АлАнт на улице 1-я Чулымская,"ул. 1-я Чулымская, 112/3, Новосибирск","АлАнт на улице 1-я Чулымская по адресу ул. 1-я Чулымская, 112/3, Новосибирск. Минимальная стоимость в отеле 'АлАнт на улице 1-я Чулымская' за ночь: от 3667₽",82.889294,55.01437
246,246,АлАнт на улице Немировича-Данченко 146/3,"ул. Немировича-Данченко, 146/3, Новосибирск","АлАнт на улице Немировича-Данченко 146/3 по адресу ул. Немировича-Данченко, 146/3, Новосибирск. Минимальная стоимость в отеле 'АлАнт на улице Немировича-Данченко 146/3' за ночь: от 3375₽",82.915857,54.990566
247,247,Apartment Coastal,"Coastal 4, Novosibirsk, Ru., Новосибирск","Apartment Coastal по адресу Coastal 4, Novosibirsk, Ru., Новосибирск. Минимальная стоимость в отеле 'Apartment Coastal' за ночь: от 3090₽",82.92043,55.030204
248,248,Apart Studio Temis,"Prospekt Karla Marksa 11 Novosibirsk 630064,Prospekt Karla Marksa, Новосибирск","Apart Studio Temis по адресу Prospekt Karla Marksa 11 Novosibirsk 630064,Prospekt Karla Marksa, Новосибирск. Минимальная стоимость в отеле 'Apart Studio Temis' за ночь: от 3202₽",82.898026,54.985555
249,249,Hotel Barracuda,"Улица Тюленина 5, Новосибирск","Hotel Barracuda по адресу Улица Тюленина 5, Новосибирск. Минимальная стоимость в отеле 'Hotel Barracuda' за ночь: от 3806₽",82.952535,55.107231
250,250,Хостел Горького 85,"85 ulitsa Maksima Gorkogo 3этаж, Новосибирск","Хостел Горького 85 по адресу 85 ulitsa Maksima Gorkogo 3этаж, Новосибирск. Минимальная стоимость в отеле 'Хостел Горького 85' за ночь: от 2260₽",82.928083,55.028058
251,251,LiderHouse (ЛидерХаус) на улице Дуси Ковальчук,"ул. Дуси Ковальчук, 394, Новосибирск","LiderHouse (ЛидерХаус) на улице Дуси Ковальчук по адресу ул. Дуси Ковальчук, 394, Новосибирск. Минимальная стоимость в отеле 'LiderHouse (ЛидерХаус) на улице Дуси Ковальчук' за ночь: от 3202₽",82.926628,55.064602
252,252,На Самотечной 29а,"ул. Самотечная, 29а, Новосибирск","На Самотечной 29а по адресу ул. Самотечная, 29а, Новосибирск. Минимальная стоимость в отеле 'На Самотечной 29а' за ночь: от 3202₽",82.906605,55.011583
